sku,length_mm,height_mm,width_mm,content_pieces,is_multipack,packaging
10281999,152.0,45.0,100.0,1,False,Bag
90006135,157.0,86.0,153.0,4,False,Tray
11470291,70.0,235.0,70.0,1,False,Gable Top
10075929,240.0,60.0,220.0,1,False,Bag
11400153,85.0,100.0,186.0,4,True,Sleeve
10551548,150.0,150.0,150.0,1,False,Not packed
11960242,153.0,14.0,117.0,1,False,Tray
90006074,120.0,39.0,130.0,1,False,Tray
10576928,80.0,30.0,170.0,2,True,Tray
10556948,174.0,180.0,174.0,1,False,Not packed
11425567,330.0,110.0,260.0,1,False,Bag
10074665,35.0,206.0,179.0,1,False,Bag
10768665,75.0,236.0,75.0,1,False,Gable Top
11474167,120.0,39.0,163.0,8,False,Tray
12121966,260.0,40.0,185.0,1,False,Bag
10440028,79.0,237.0,79.0,1,False,Gable Top
11296472,196.0,37.0,154.0,12,False,Tray
11385494,12.0,277.0,231.0,5,False,Bag
90006007,132.0,93.0,117.0,1,False,Tray
11833549,115.0,45.0,115.0,1,False,Box
10697538,200.0,28.0,270.0,1,False,Bag
10454992,226.0,18.0,172.0,1,False,Tray
11298357,157.0,78.0,210.0,6,False,Sleeve
12039050,240.0,90.0,165.0,1,False,Tray
11399883,81.0,248.0,99.0,1,False,Gable Top
10742686,208.0,23.0,233.0,1,False,Tray
11720351,210.0,10.0,160.0,1,False,Bag
10454991,185.0,15.0,210.0,1,False,Tray
11419521,240.0,40.0,220.0,1,False,Bag
10761956,90.0,48.0,90.0,1,False,Cup\Tub
11716291,146.0,60.0,232.0,1,False,Tray
10760994,75.0,236.0,75.0,1,False,Gable Top
11779343,54.0,81.0,185.0,2,True,Box
10075917,320.0,60.0,220.0,1,False,Bag
90006029,131.0,128.0,128.0,1,False,Not packed
12105120,60.0,265.0,220.0,1,False,Bag
10574091,108.0,42.0,142.0,1,False,Cup\Tub
10281938,179.0,48.0,139.0,1,False,Tray
10286119,260.0,30.0,176.0,2,False,Tray
11470259,70.0,235.0,70.0,1,False,Gable Top
11410390,110.0,60.0,60.0,1,False,Shrinkwrapped
10074113,133.0,88.0,114.0,1,False,Tray
10075970,270.0,50.0,220.0,1,False,Bag
12083513,60.0,110.0,110.0,1,False,Cup\Tub
10281918,130.0,45.0,147.0,1,False,Bag
11716292,179.0,48.0,139.0,1,False,Tray
11578393,240.0,90.0,165.0,1,False,Box
10768786,79.0,237.0,79.0,1,False,Gable Top
11296552,31.0,182.0,179.0,1,False,Bag
12068879,57.0,219.0,57.0,1,False,Aerosol
10075943,45.0,110.0,110.0,1,False,Clam Shell
12039049,240.0,90.0,165.0,1,False,Tray
11326121,79.0,237.0,79.0,1,False,Gable Top
11818116,35.0,192.0,145.0,1,False,Tray
10764931,79.0,237.0,79.0,1,False,Gable Top
10618868,58.0,110.0,58.0,6,False,Can
11421104,99.0,130.0,99.0,1,False,Cup\Tub
11479744,70.0,235.0,70.0,1,False,Gable Top
11479749,70.0,235.0,70.0,1,False,Gable Top
10075913,260.0,40.0,185.0,1,False,Bag
10074786,185.0,48.0,77.0,1,False,Tray
10075909,260.0,50.0,185.0,1,False,Bag
12045993,178.0,35.0,140.0,1,False,Tray
11478299,75.0,236.0,75.0,1,False,Gable Top
11953790,110.0,60.0,110.0,1,False,Shrinkwrapped
11431433,200.0,100.0,200.0,1,False,Bag
10074853,60.0,340.0,250.0,1,False,Bag
11791931,290.0,50.0,220.0,1,False,Bag
11291718,79.0,237.0,79.0,1,False,Gable Top
90006025,213.0,56.0,123.0,2,False,Tray
12154475,139.0,48.0,179.0,1,False,Tray
11791498,190.0,40.0,185.0,1,False,Bag
10691308,262.0,73.0,155.0,6,False,Bag
11999044,240.0,90.0,165.0,1,False,Tray
11472967,164.0,37.0,109.0,1,False,Tray
10466718,96.0,260.0,128.0,1,False,Bag
10286088,179.0,48.0,139.0,1,False,Tray
90001912,187.0,78.0,174.0,10,False,Bag
11718459,179.0,48.0,139.0,2,False,Tray
90006109,130.0,110.0,110.0,1,False,Not packed
90006062,135.0,63.0,96.0,3,False,Tray
11742647,75.0,129.0,129.0,1,False,Cup\Tub
11472328,98.0,110.0,98.0,1,False,Cup\Tub
11296532,40.0,206.0,179.0,1,False,Bag
10241849,180.0,20.0,134.0,1,False,Tray
11717087,79.0,237.0,79.0,1,False,Gable Top
11660631,86.0,95.0,188.0,4,True,Sleeve
10074666,35.0,221.0,159.0,1,False,Bag
10075034,90.0,240.0,165.0,1,False,Box
10075983,80.0,195.0,175.0,1,False,Tray
11411526,35.0,192.0,145.0,1,False,Tray
12042645,98.0,54.0,98.0,1,False,Cup\Tub
11817388,290.0,50.0,220.0,1,False,Bag
12048468,330.0,40.0,260.0,3,False,Bag
12107782,146.0,72.0,95.0,1,False,Cup\Tub
90006086,122.0,40.0,122.0,1,False,Cup\Tub
11953821,165.0,240.0,90.0,1,False,Tray
11760449,179.0,48.0,139.0,1,False,Tray
11801325,95.0,123.0,95.0,1,False,Cup\Tub
10289988,178.0,48.0,138.0,4,False,Tray
10760028,90.0,60.0,90.0,1,False,Cup\Tub
11716278,232.0,60.0,146.0,1,False,Tray
11953816,240.0,90.0,165.0,1,False,Tray
11716323,80.0,200.0,150.0,1,False,Tray
10467838,150.0,150.0,150.0,1,False,Not packed
10075923,210.0,40.0,140.0,1,False,Bag
11716773,179.0,60.0,139.0,1,False,Tray
10074724,185.0,48.0,77.0,1,False,Tray
10767518,85.0,98.0,98.0,1,False,Cup\Tub
10618858,93.0,52.0,93.0,1,False,Cup\Tub
11411346,74.0,154.0,141.0,4,False,Tray
11426954,200.0,40.0,200.0,1,False,Tray
11717060,179.0,48.0,139.0,2,False,Tray
10252057,180.0,20.0,134.0,1,False,Tray
10989928,73.0,97.0,147.0,1,False,Cup\Tub
90006028,150.0,150.0,150.0,2,False,Net
11740939,60.0,185.0,185.0,1,False,Cup\Tub
11835899,215.0,56.0,170.0,1,False,Bag
90006027,120.0,50.0,120.0,2,False,Net
10075927,250.0,50.0,185.0,1,False,Bag
11292577,79.0,237.0,79.0,1,False,Gable Top
10074662,35.0,206.0,179.0,1,False,Bag
11431436,300.0,60.0,170.0,2,True,Bag
11763456,179.0,48.0,139.0,1,False,Tray
11626002,200.0,50.0,135.0,1,False,Tray
10291906,167.0,51.0,137.0,1,False,Tray
11717064,232.0,80.0,146.0,5,False,Tray
11716305,232.0,41.0,146.0,1,False,Tray
11828813,115.0,30.0,195.0,1,False,Bag
10550998,41.0,241.0,179.0,1,False,Bag
11294414,179.0,45.0,139.0,1,False,Tray
11715939,179.0,40.0,103.0,1,False,Tray
11976069,190.0,55.0,142.0,1,False,Tray
11281693,232.0,60.0,146.0,2,False,Tray
90006096,248.0,71.0,133.0,1,False,Tray
11717089,79.0,237.0,79.0,1,False,Gable Top
90006128,150.0,78.0,144.0,4,False,Sleeve
90000704,45.0,210.0,157.0,1,False,Tray
11476582,190.0,90.0,120.0,1,False,Clam Shell
11999046,240.0,90.0,165.0,1,False,Tray
90006058,135.0,43.0,112.0,1,False,Tray
11936994,82.0,70.0,82.0,1,False,Cup\Tub
10561650,240.0,130.0,250.0,1,False,Net
10075988,180.0,70.0,180.0,1,False,Tray
10467848,173.0,141.0,156.0,1,False,Bag
11429666,179.0,45.0,139.0,2,False,Tray
12149890,90.0,240.0,165.0,1,False,Tray
90006030,179.0,45.0,123.0,1,False,Tray
10561634,300.0,88.0,233.0,1,False,Net
11479741,70.0,235.0,70.0,1,False,Gable Top
11299303,70.0,189.0,114.0,1,False,Tray
10760450,94.0,112.0,112.0,1,False,Cup\Tub
10074787,185.0,43.0,77.0,1,False,Tray
12053705,90.0,240.0,165.0,1,False,Tray
11299669,102.0,245.0,79.0,1,False,Gable Top
10075065,300.0,65.0,220.0,1,False,Bag
11768790,48.0,129.0,92.0,1,False,Cup\Tub
11738318,232.0,44.0,146.0,1,False,Tray
11971072,115.0,97.0,115.0,1,False,Cup\Tub
11791928,310.0,50.0,220.0,1,False,Bag
10761177,73.0,235.0,73.0,1,False,Gable Top
11454962,111.0,54.0,111.0,1,False,Cup\Tub
10462008,194.0,76.0,128.0,6,False,Bag
11299179,300.0,60.0,220.0,1,False,Bag
12053708,90.0,240.0,165.0,1,False,Tray
90006001,119.0,66.0,92.0,2,False,Tray
11462296,140.0,80.0,115.0,1,False,Tray
11716289,179.0,48.0,139.0,1,False,Tray
11714243,95.0,125.0,95.0,1,False,Cup\Tub
12121965,40.0,260.0,185.0,1,False,Bag
11716287,146.0,60.0,232.0,1,False,Tray
10075064,280.0,50.0,220.0,1,False,Bag
11292910,133.0,46.0,188.0,1,False,Bag
10075935,312.0,71.0,231.0,1,False,Bag
12121040,405.0,60.0,80.0,1,False,Not packed
11399893,200.0,40.0,200.0,1,False,Tray
11465527,210.0,10.0,210.0,1,False,Tray
11833550,179.0,60.0,139.0,1,False,Bag
11719625,80.0,130.0,130.0,1,False,Cup\Tub
90006078,193.0,105.0,119.0,10,False,Tray
12076836,210.0,35.0,80.0,1,False,Tray
12161612,15.0,154.0,230.0,1,False,Wrapper
11809881,190.0,50.0,125.0,1,False,Tray
10762066,197.0,16.0,135.0,1,False,Tray
90006095,227.0,53.0,174.0,1,False,Bag
90006111,297.0,21.0,260.0,2,False,Bag
11697305,115.0,212.0,214.0,1,False,Net
11406433,80.0,120.0,120.0,4,False,Tray
11470272,70.0,235.0,70.0,1,False,Gable Top
10761827,110.0,60.0,60.0,1,False,Shrinkwrapped
10576366,180.0,20.0,130.0,1,False,Tray
11706929,230.0,50.0,160.0,1,False,Bag
11286803,179.0,60.0,139.0,1,False,Tray
11957985,79.0,82.0,143.0,1,False,Cup\Tub
10573498,190.0,50.0,175.0,1,False,Tray
10254954,185.0,15.0,260.0,1,False,Tray
11716304,232.0,41.0,146.0,1,False,Tray
12123151,79.0,237.0,79.0,1,False,Gable Top
11389526,164.0,48.0,79.0,1,False,Tray
11478308,79.0,237.0,79.0,1,False,Gable Top
12161528,79.0,237.0,79.0,1,False,Gable Top
10075993,180.0,70.0,180.0,1,False,Tray
12050647,178.0,48.0,138.0,6,False,Tray
11941316,185.0,57.0,90.0,1,False,Bag
11628499,140.0,45.0,94.0,1,False,Bag
10005358,75.0,35.0,100.0,1,False,Wrapper
10075995,230.0,60.0,220.0,1,False,Bag
10074777,41.0,241.0,179.0,1,False,Bag
11716281,232.0,48.0,146.0,1,False,Tray
10074852,300.0,60.0,250.0,1,False,Bag
10697318,262.0,71.0,64.0,1,False,Bag
11413895,260.0,40.0,185.0,1,False,Bag
11383197,131.0,134.0,131.0,1,False,Cup\Tub
11429410,240.0,90.0,165.0,1,False,Tray
10289938,219.0,30.0,126.0,2,False,Tray
12053706,90.0,240.0,165.0,1,False,Tray
11479754,70.0,235.0,70.0,1,False,Gable Top
11999042,240.0,90.0,165.0,1,False,Tray
11419524,300.0,60.0,220.0,1,False,Bag
10959778,161.0,76.0,80.0,8,True,Box
11425561,300.0,60.0,220.0,1,False,Bag
11390411,220.0,50.0,150.0,1,False,Bag
10075901,260.0,50.0,160.0,1,False,Bag
11791229,270.0,50.0,185.0,1,False,Bag
90006051,185.0,128.0,130.0,5,False,Tray
12053707,90.0,240.0,165.0,1,False,Tray
11716285,160.0,45.0,122.0,1,False,Tray
10074669,31.0,182.0,179.0,1,False,Bag
11765450,350.0,38.0,42.0,1,False,Bag
11800322,115.0,52.0,115.0,1,False,Cup\Tub
11292043,186.0,40.0,137.0,1,False,Tray
11297596,280.0,60.0,60.0,1,False,Not packed
12050440,133.0,112.0,133.0,1,False,Cup\Tub
12107781,109.0,40.0,64.0,1,False,Wrapper
11463877,230.0,40.0,220.0,1,False,Bag
11700489,76.0,225.0,76.0,1,False,Bottle
11817391,330.0,50.0,250.0,1,False,Bag
11813167,79.0,237.0,79.0,1,False,Gable Top
10164927,180.0,20.0,130.0,1,False,Tray
10557048,174.0,76.0,139.0,1,False,Tray
11299400,240.0,55.0,170.0,1,False,Bag
10286078,230.0,60.0,145.0,1,False,Tray
12050443,76.0,238.0,76.0,1,False,Gable Top
90006000,291.0,40.0,155.0,1,False,Bag
11426957,200.0,40.0,200.0,1,False,Tray
10075055,200.0,50.0,185.0,1,False,Bag
90006048,214.0,131.0,210.0,1,False,Bag
11953822,240.0,90.0,165.0,1,False,Tray
11404411,129.0,43.0,90.0,1,False,Tray
12049896,95.0,52.0,95.0,1,False,Cup\Tub
10254073,15.0,154.0,230.0,1,False,Tray
11472986,167.0,53.0,110.0,1,False,Tray
11812234,139.0,38.0,179.0,2,False,Tray
11627789,200.0,40.0,135.0,1,False,Tray
11579126,70.0,230.0,70.0,1,False,Gable Top
11845936,240.0,90.0,165.0,1,False,Tray
90006116,279.0,93.0,274.0,1,False,Bag
12131668,79.0,237.0,79.0,1,False,Gable Top
10558988,173.0,66.0,130.0,1,False,Tray
11754401,139.0,38.0,179.0,1,False,Tray
11628521,128.0,45.0,208.0,1,False,Bag
11386888,95.0,80.0,95.0,1,False,Cup\Tub
11479728,70.0,235.0,70.0,1,False,Gable Top
11711360,240.0,90.0,165.0,1,False,Tray
10074855,280.0,50.0,185.0,1,False,Bag
11937366,132.0,130.0,132.0,1,False,Cup\Tub
11283360,76.0,239.0,75.0,1,False,Gable Top
90006036,173.0,72.0,143.0,4,False,Sleeve
10075054,290.0,50.0,285.0,1,False,Bag
90006124,226.0,61.0,90.0,1,False,Bag
12055863,178.0,60.0,140.0,1,False,Tray
11539784,179.0,45.0,139.0,1,False,Tray
10761151,90.0,43.0,154.0,1,False,Cup\Tub
10760988,77.0,237.0,76.0,1,False,Gable Top
10075922,140.0,30.0,140.0,1,False,Bag
11716277,179.0,48.0,139.0,1,False,Tray
11425564,360.0,70.0,330.0,1,False,Bag
10467658,336.0,139.0,123.0,1,False,Not packed
10074677,210.0,80.0,180.0,2,False,Bag
10467868,410.0,30.0,170.0,1,False,Bag
10074784,178.0,48.0,80.0,1,False,Tray
12085189,180.0,20.0,130.0,1,False,Tray
12090532,230.0,15.0,154.0,1,False,Tray
10760236,111.0,46.0,84.0,5,False,Net
11425372,195.0,80.0,175.0,1,False,Tray
10765755,95.0,123.0,95.0,1,False,Cup\Tub
90006021,130.0,90.0,130.0,1,False,Not packed
10281998,140.0,45.0,86.0,1,False,Bag
12046025,81.0,241.0,81.0,1,False,Bottle
10075920,260.0,50.0,220.0,1,False,Bag
11290917,186.0,40.0,138.0,1,False,Tray
11466283,108.0,42.0,142.0,1,False,Cup\Tub
12094587,200.0,25.0,135.0,1,False,Wrapper
11818113,35.0,192.0,145.0,1,False,Tray
11397146,240.0,110.0,170.0,1,False,Net
11281686,232.0,22.0,146.0,10,False,Tray
10568707,95.0,154.0,230.0,6,False,Sleeve
11752327,178.0,35.0,140.0,1,False,Tray
11421441,133.0,113.0,133.0,1,False,Cup\Tub
11716774,179.0,48.0,139.0,1,False,Tray
