Folder name	Filename	
10074656	20251119-22000254-10074656-09-52-14
10074656	20251119-22000254-10074656-10-14-35
10074656	20251119-22000254-10074656-10-38-16
10074656	20251119-42000254-10074656-10-02-36
10074656	20251119-42000254-10074656-10-05-10
10074656	20251119-42000254-10074656-10-09-38
10074656	20251119-42000254-10074656-10-23-49
10074790	20251117-2600039739-10074790-11-14-00
10074790	20251117-4600039739-10074790-11-20-15
10074790	20251117-4600039739-10074790-11-22-50
10074790	20251117-4600039739-10074790-11-29-43
10454992	20251117-2600038097-10454992-09-19-58
10558518	20251118-2600000523-10558518-15-15-44
10558518	20251118-2600000523-10558518-15-18-58
11323792	20251117-2600054558-11323792-10-16-07
11323792	20251117-4600054558-11323792-10-47-59
11386313	20251118-2600054899-11386313-15-46-40
11386313	20251118-4600054899-11386313-17-52-48
11386313	20251118-4600054899-11386313-17-56-36
11400153	20251118-4600026870-11400153-15-02-37
11400153	20251118-4600026870-11400153-15-05-11
11400153	20251118-4600026870-11400153-15-09-45
11406433	20251117-2600006806-11406433-08-56-09
11406433	20251117-2600006806-11406433-09-34-52
11406433	20251117-2600006806-11406433-10-08-41
11406433	20251117-4600006806-11406433-09-08-56
11406433	20251117-4600006806-11406433-10-02-29
11406433	20251117-4600006806-11406433-10-17-28
11406433	20251118-2600060102-11406433-17-26-29
11406433	20251118-4600060102-11406433-15-48-46
11406433	20251118-4600060102-11406433-17-06-58
11406433	20251118-4600060102-11406433-17-10-45
11406433	20251118-4600060102-11406433-17-49-14
11406433	20251119-2600032615-11406433-09-43-10
11411346	20251117-22017257-11411346-10-19-14
11411346	20251117-22017257-11411346-10-23-17
11411346	20251117-42017257-11411346-09-54-57
11411346	20251117-42017257-11411346-10-39-13
11422731	20251117-4600020357-11422731-09-50-07
11478299	20251114-2600048297-11478299-16-52-25
11478299	20251114-4600048297-11478299-16-45-46
11749905	20251117-4600019619-11749905-10-47-26
11766655	20251117-4600039580-11766655-09-57-52
11809295	20251117-4600028287-11809295-11-25-32
11809295	20251117-4600028287-11809295-11-30-24
11809295	20251117-4600028287-11809295-11-32-58
11809295	20251117-4600028287-11809295-11-35-33
11809295	20251117-4600028287-11809295-11-38-08
11809351	20251117-4600018785-11809351-10-09-36
11834185	20251114-2600002747-11834185-16-43-00
90006036	20251117-22002170-90006036-11-01-01
90006036	20251117-22021691-90006036-10-18-01
90006036	20251117-42002170-90006036-10-35-31
90006036	20251117-42002170-90006036-11-16-23
90006036	20251117-42002170-90006036-11-18-58
90006036	20251117-42002170-90006036-11-21-33
90006036	20251117-42002170-90006036-11-26-08
90006036	20251117-42006498-90006036-09-11-46
90006036	20251117-42021691-90006036-10-26-54
90006036	20251117-42021691-90006036-10-30-46
90006096	20251118-2600030670-90006096-14-49-51
90006096	20251118-2600030670-90006096-15-17-12
90006096	20251118-2600030670-90006096-15-21-24
90006096	20251118-4600030670-90006096-15-01-19
90006124	20251117-2600035700-90006124-09-44-48
90006124	20251117-2600035700-90006124-09-48-11
90006124	20251117-2600035700-90006124-10-23-42
90006124	20251117-2600035700-90006124-10-27-27
90006124	20251117-4600035700-90006124-09-31-57
90006124	20251117-4600035700-90006124-09-58-46
90006124	20251117-4600035700-90006124-10-49-35
10074656    20251119-42000254-10074656-11-01-03
10074656    20251119-42000254-10074656-11-03-38
10074656    20251119-42000254-10074656-11-06-13
10074656    20251119-42000254-10074656-11-09-31
10657608    20251119-2600022786-10657608-11-29-39
12180803    20251119-2600055311-12180803-11-50-18
10657608    20251119-4600022786-10657608-11-11-52
10075934	20251117-22003660-10075934-09-24-19
10075934	20251117-42003660-10075934-09-03-20
10075934	20251117-42003660-10075934-09-05-54
10075934	20251117-42003660-10075934-09-12-35
10075934	20251117-42003660-10075934-09-33-58
10075934	20251119-22022905-10075934-11-03-08
10075934	20251119-22022905-10075934-11-44-09
10075934	20251119-42022905-10075934-10-32-33
10075934	20251201-22010079-10075934-11-37-20
10075934	20251201-22010079-10075934-12-16-25
10075934	20251201-42010079-10075934-12-04-07
12474058	20251201-22014471-12474058-12-00-26
12474058	20251201-22014471-12474058-12-44-21
10468098	20251201-22019152-10468098-12-05-11
10468098	20251201-22019152-10468098-12-09-29
12474058	20251201-42014471-12474058-12-27-12
10468098	20251118-42006426-10468098-14-48-36
10468098	20251118-42006426-10468098-14-51-12
10468098	20251119-22019000-10468098-10-23-50
10468098	20251119-22022784-10468098-12-09-38
10468098	20251119-42019000-10468098-09-44-38
10468098	20251119-42022784-10468098-11-58-31
10468098	20251201-22019152-10468098-12-02-36
10468098	20251201-22019152-10468098-12-05-11
10468098	20251201-22019152-10468098-12-09-29
10468098	20251201-42019152-10468098-11-31-40
11454475	20251201-2600019921-11454475-11-53-39
11610525	20251201-2600023364-11610525-12-06-41
11299275	20251201-2600031994-11299275-12-23-23
11739026	20251201-2600039707-11739026-11-28-53
11406433	20251201-2600051396-11406433-12-07-39
12478952	20251201-4600007564-12478952-12-47-07
12123293	20251201-4600011828-12123293-12-56-06
12123293	20251201-4600011828-12123293-12-58-41
11406433	20251201-4600012323-11406433-10-37-10
12052058	20251201-4600020480-12052058-11-39-29
12052058	20251201-4600020480-12052058-11-43-56
11717087	20251201-2600020855-11717087-12-09-24
11717087	20251201-2600020855-11717087-12-44-52
11717087	20251201-2600020855-11717087-12-47-27
11717087	20251201-2600020855-11717087-12-50-02
11717087	20251201-2600020855-11717087-12-52-37
11717087	20251201-2600020855-11717087-12-55-12
