original_filepath,staging_filepath,filename,sku,tote_id,date,time,timestamp_iso,expected_qty,label,split,product_name,category,mix_up_qty,damaged_items_qty,dirty_items_qty,freshness_issue_items_qty,underripe_items_qty,overripe_items_qty,spoiled_items_qty,total_quality_issues,complaint_flag,number_of_issues,shopper_flag
quality-issue/20251114-4600051131-10575563-16-30-22.png,sick_data_staging/10575563/20251114-4600051131-10575563-16-30-22.png,20251114-4600051131-10575563-16-30-22.png,10575563,4600051131,2025-11-14,16:30:22,2025-11-14T16:30:22,,,,Merkloos Kakifruit 1 kilo,Fruit,,,,,,,,0,False,0,False
quality-issue/20251117-2600048683-11419521-09-48-42.png,sick_data_staging/11419521/20251117-2600048683-11419521-09-48-42.png,20251117-2600048683-11419521-09-48-42.png,11419521,2600048683,2025-11-17,09:48:42,2025-11-17T09:48:42,,,,Picnic Bio rucola 40 gram,Aardappelen & groente,,,,,,,,0,False,0,False
quality-issue/20251114-4600000296-11612946-16-04-37.png,sick_data_staging/11612946/20251114-4600000296-11612946-16-04-37.png,20251114-4600000296-11612946-16-04-37.png,11612946,4600000296,2025-11-14,16:04:37,2025-11-14T16:04:37,,,,Picnic Magere kwark vanille 500 gram,Zuivel & eieren,,,,,,,,0,False,0,False
quality-issue/20251114-2600051131-10575563-16-46-47.png,sick_data_staging/10575563/20251114-2600051131-10575563-16-46-47.png,20251114-2600051131-10575563-16-46-47.png,10575563,2600051131,2025-11-14,16:46:47,2025-11-14T16:46:47,,,,Merkloos Kakifruit 1 kilo,Fruit,,,,,,,,0,False,0,False
quality-issue/20251117-2600038895-12107782-09-37-35.png,sick_data_staging/12107782/20251117-2600038895-12107782-09-37-35.png,20251117-2600038895-12107782-09-37-35.png,12107782,2600038895,2025-11-17,09:37:35,2025-11-17T09:37:35,,,,Picnic Halvarine 500 gram,Zuivel & eieren,,,,,,,,0,False,0,False
quality-issue/20251117-22010590-10573498-09-02-55.png,sick_data_staging/10573498/20251117-22010590-10573498-09-02-55.png,20251117-22010590-10573498-09-02-55.png,10573498,22010590,2025-11-17,09:02:55,2025-11-17T09:02:55,,,,Merkloos Witte champignons 250 gram,Aardappelen & groente,,,,,,,,0,False,0,False
quality-issue/20251117-2600038596-11464323-10-51-12.png,sick_data_staging/11464323/20251117-2600038596-11464323-10-51-12.png,20251117-2600038596-11464323-10-51-12.png,11464323,2600038596,2025-11-17,10:51:12,2025-11-17T10:51:12,,,,Heemskerk Sojabonen 200 gram,Aardappelen & groente,,,,,,,,0,False,0,False
quality-issue/20251114-4600011466-12482034-16-26-54.png,sick_data_staging/12482034/20251114-4600011466-12482034-16-26-54.png,20251114-4600011466-12482034-16-26-54.png,12482034,4600011466,2025-11-14,16:26:54,2025-11-14T16:26:54,,,,Ted's kitchen Pizza pulled bbq chicken 455 gram,Maaltijden & gemak,,,,,,,,0,False,0,False
quality-issue/20251117-2600021556-12461225-08-59-32.png,sick_data_staging/12461225/20251117-2600021556-12461225-08-59-32.png,20251117-2600021556-12461225-08-59-32.png,12461225,2600021556,2025-11-17,08:59:32,2025-11-17T08:59:32,,,,Picnic Ei met prei salade 175 gram,Vleeswaren & broodsalades,,,,,,,,0,False,0,False
quality-issue/20251117-2600054913-11937366-10-36-55.png,sick_data_staging/11937366/20251117-2600054913-11937366-10-36-55.png,20251117-2600054913-11937366-10-36-55.png,11937366,2600054913,2025-11-17,10:36:55,2025-11-17T10:36:55,,,,Campina Griekse stijl 2% vet 1 kilo,Zuivel & eieren,,,,,,,,0,False,0,False
quality-issue/20251117-4600031855-11764955-09-30-06.png,sick_data_staging/11764955/20251117-4600031855-11764955-09-30-06.png,20251117-4600031855-11764955-09-30-06.png,11764955,4600031855,2025-11-17,09:30:06,2025-11-17T09:30:06,,,,Picnic Tagliatelle carbonara 450 gram,Maaltijden & gemak,,,,,,,,0,False,0,False
quality-issue/20251117-2600052396-90006134-11-30-49.png,sick_data_staging/90006134/20251117-2600052396-90006134-11-30-49.png,20251117-2600052396-90006134-11-30-49.png,90006134,2600052396,2025-11-17,11:30:49,2025-11-17T11:30:49,,,,Merkloos Knolselderij 1 stuk (ca. 750 gram),Aardappelen & groente,,,,,,,,0,False,0,False
quality-issue/20251114-22008783-11413895-16-02-28.png,sick_data_staging/11413895/20251114-22008783-11413895-16-02-28.png,20251114-22008783-11413895-16-02-28.png,11413895,22008783,2025-11-14,16:02:28,2025-11-14T16:02:28,,,,Picnic Snackwortel 650 gram,Aardappelen & groente,,,,,,,,0,False,0,False
